,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
H_pivot,0.741,0.036,0.676,0.808,0.01,0.002,13.0,115.0,1.15
H0,0.688,0.058,0.586,0.792,0.013,0.002,20.0,366.0,1.1
Om,0.285,0.034,0.221,0.347,0.007,0.001,23.0,294.0,1.09
w,-0.953,0.265,-1.423,-0.46,0.014,0.007,301.0,609.0,1.03
mu_p,1.178,0.012,1.155,1.201,0.003,0.001,14.0,72.0,1.16
sigma_p,0.103,0.003,0.097,0.108,0.0,0.0,260.0,1048.0,1.02
c0,4.798,0.033,4.739,4.863,0.001,0.001,2000.0,1906.0,1.0
c1,-5.081,0.078,-5.211,-4.921,0.016,0.002,23.0,269.0,1.08
mu_q,0.494,0.003,0.489,0.501,0.0,0.0,2928.0,1558.0,1.0
sigma_q,0.099,0.003,0.094,0.104,0.0,0.0,3307.0,1384.0,1.0
